Index_column,id,cellid,start,end,phase,task,completion,HasNext,HasNextTask,Group_Number,GroupKey,Task_Group_Number,task_group_completion,MainColor,MaxGroupDate,MaxTaskGroupDate,MinGroupDate,MinTaskGroupDate,Media_Color
45,Prod 4Media 10,Prod 4-Media 10-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 10,3750,true,true,1,16,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
46,Prod 4Media 10,Prod 4-Media 10-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 10,3750,true,true,1,17,1,197148,#4298b5,2024-10-13 00:00:00,2024-02-25 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,#88C7D8
47,Prod 4Media 12,Prod 4-Media 12-49-2023,2023-12-03 00:00:00,2023-12-09 00:00:00,Prod 4,Media 12,3125,true,true,1,14,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
48,Prod 4Media 12,Prod 4-Media 12-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 4,Media 12,3125,true,true,1,15,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
49,Prod 4Media 12,Prod 4-Media 12-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 4,Media 12,3125,true,true,1,16,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
50,Prod 4Media 12,Prod 4-Media 12-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 4,Media 12,3125,true,true,1,17,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
51,Prod 4Media 12,Prod 4-Media 12-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 4,Media 12,3800,true,true,1,18,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
52,Prod 4Media 12,Prod 4-Media 12-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 4,Media 12,3800,true,true,1,19,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
53,Prod 4Media 12,Prod 4-Media 12-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 4,Media 12,3800,true,true,1,20,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
54,Prod 4Media 12,Prod 4-Media 12-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 12,3800,true,true,1,21,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
55,Prod 4Media 12,Prod 4-Media 12-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 4,Media 12,2450,true,true,1,22,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
56,Prod 4Media 12,Prod 4-Media 12-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 4,Media 12,2450,true,true,1,23,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
57,Prod 4Media 12,Prod 4-Media 12-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 4,Media 12,2450,true,true,1,24,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
58,Prod 4Media 12,Prod 4-Media 12-8-2024,2024-02-18 00:00:00,2024-02-24 00:00:00,Prod 4,Media 12,2450,true,true,1,25,1,180215,#4298b5,2024-10-13 00:00:00,2024-10-13 00:00:00,2023-09-03 00:00:00,2023-09-03 00:00:00,#6470CA
59,Prod 4Media 3,Prod 4-Media 3-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 4,Media 3,25000,true,true,1,21,2,50000,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2024-01-21 00:00:00,#CC00CC
60,Prod 4Media 3,Prod 4-Media 3-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 4,Media 3,25000,true,false,1,22,2,50000,#4298b5,2024-10-13 00:00:00,2024-02-04 00:00:00,2023-09-03 00:00:00,2024-01-21 00:00:00,#CC00CC
61,Prod 14Media 7,Prod 14-Media 7-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 14,Media 7,182516,true,true,1,15,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
62,Prod 14Media 7,Prod 14-Media 7-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 7,163695,true,true,1,16,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
63,Prod 14Media 7,Prod 14-Media 7-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 7,160307,true,true,1,17,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
64,Prod 14Media 7,Prod 14-Media 7-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 14,Media 7,148835,true,true,1,18,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
65,Prod 14Media 7,Prod 14-Media 7-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 14,Media 7,125312,true,true,1,19,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
66,Prod 14Media 7,Prod 14-Media 7-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 14,Media 7,123688,true,true,1,20,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
67,Prod 14Media 7,Prod 14-Media 7-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 14,Media 7,132510,true,false,1,21,1,1036863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#82C17A
68,Prod 14Media 16,Prod 14-Media 16-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 14,Media 16,24989,true,true,1,15,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
69,Prod 14Media 16,Prod 14-Media 16-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 16,24989,true,true,1,16,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
70,Prod 14Media 16,Prod 14-Media 16-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 16,24989,true,true,1,17,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
71,Prod 14Media 16,Prod 14-Media 16-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 14,Media 16,24974,true,true,1,18,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
72,Prod 14Media 16,Prod 14-Media 16-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 14,Media 16,24974,true,true,1,19,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
73,Prod 14Media 16,Prod 14-Media 16-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 14,Media 16,24974,true,true,1,20,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
74,Prod 14Media 16,Prod 14-Media 16-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 14,Media 16,24974,true,false,1,21,1,174863,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00738C
75,Prod 14Media 8,Prod 14-Media 8-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 14,Media 8,16559,true,true,1,15,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
76,Prod 14Media 8,Prod 14-Media 8-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 8,16559,true,true,1,16,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
77,Prod 14Media 8,Prod 14-Media 8-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 8,16559,true,true,1,17,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
78,Prod 14Media 8,Prod 14-Media 8-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 14,Media 8,14390,true,true,1,18,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
79,Prod 14Media 8,Prod 14-Media 8-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 14,Media 8,14390,true,true,1,19,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
80,Prod 14Media 8,Prod 14-Media 8-3-2024,2024-01-14 00:00:00,2024-01-20 00:00:00,Prod 14,Media 8,14390,true,true,1,20,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
81,Prod 14Media 8,Prod 14-Media 8-4-2024,2024-01-21 00:00:00,2024-01-27 00:00:00,Prod 14,Media 8,14390,true,false,1,21,1,107237,#004f71,2024-02-25 00:00:00,2024-01-28 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#00964D
82,Prod 14Media 5,Prod 14-Media 5-50-2023,2023-12-10 00:00:00,2023-12-16 00:00:00,Prod 14,Media 5,77304,true,true,1,15,1,231912,#004f71,2024-02-25 00:00:00,2023-12-31 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#ffad5c
83,Prod 14Media 5,Prod 14-Media 5-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 5,77304,true,true,1,16,1,231912,#004f71,2024-02-25 00:00:00,2023-12-31 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#ffad5c
84,Prod 14Media 5,Prod 14-Media 5-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 5,77304,true,false,1,17,1,231912,#004f71,2024-02-25 00:00:00,2023-12-31 00:00:00,2023-11-05 00:00:00,2023-12-10 00:00:00,#ffad5c
85,Prod 14Media 5,Prod 14-Media 5-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 14,Media 5,63160,true,true,1,22,2,189480,#004f71,2024-02-25 00:00:00,2024-02-18 00:00:00,2023-11-05 00:00:00,2024-01-28 00:00:00,#ffad5c
86,Prod 14Media 5,Prod 14-Media 5-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 14,Media 5,63160,true,true,1,23,2,189480,#004f71,2024-02-25 00:00:00,2024-02-18 00:00:00,2023-11-05 00:00:00,2024-01-28 00:00:00,#ffad5c
87,Prod 14Media 5,Prod 14-Media 5-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 14,Media 5,63160,true,false,1,24,2,189480,#004f71,2024-02-25 00:00:00,2024-02-18 00:00:00,2023-11-05 00:00:00,2024-01-28 00:00:00,#ffad5c
88,Prod 14Media 11,Prod 14-Media 11-5-2024,2024-01-28 00:00:00,2024-02-03 00:00:00,Prod 14,Media 11,23333,true,true,1,22,1,69999,#004f71,2024-02-25 00:00:00,2024-02-18 00:00:00,2023-11-05 00:00:00,2024-01-28 00:00:00,#DE77A2
89,Prod 14Media 11,Prod 14-Media 11-6-2024,2024-02-04 00:00:00,2024-02-10 00:00:00,Prod 14,Media 11,23333,true,true,1,23,1,69999,#004f71,2024-02-25 00:00:00,2024-02-18 00:00:00,2023-11-05 00:00:00,2024-01-28 00:00:00,#DE77A2
90,Prod 14Media 11,Prod 14-Media 11-7-2024,2024-02-11 00:00:00,2024-02-17 00:00:00,Prod 14,Media 11,23333,true,false,1,24,1,69999,#004f71,2024-02-25 00:00:00,2024-02-18 00:00:00,2023-11-05 00:00:00,2024-01-28 00:00:00,#DE77A2
91,Prod 14Media 3,Prod 14-Media 3-51-2023,2023-12-17 00:00:00,2023-12-23 00:00:00,Prod 14,Media 3,17500,true,true,1,16,1,70000,#004f71,2024-02-25 00:00:00,2024-01-14 00:00:00,2023-11-05 00:00:00,2023-12-17 00:00:00,#CC00CC
92,Prod 14Media 3,Prod 14-Media 3-52-2023,2023-12-24 00:00:00,2023-12-30 00:00:00,Prod 14,Media 3,17500,true,true,1,17,1,70000,#004f71,2024-02-25 00:00:00,2024-01-14 00:00:00,2023-11-05 00:00:00,2023-12-17 00:00:00,#CC00CC
93,Prod 14Media 3,Prod 14-Media 3-53-2023,2023-12-31 00:00:00,2024-01-06 00:00:00,Prod 14,Media 3,17500,true,true,1,18,1,70000,#004f71,2024-02-25 00:00:00,2024-01-14 00:00:00,2023-11-05 00:00:00,2023-12-17 00:00:00,#CC00CC
94,Prod 14Media 3,Prod 14-Media 3-2-2024,2024-01-07 00:00:00,2024-01-13 00:00:00,Prod 14,Media 3,17500,true,false,1,19,1,70000,#004f71,2024-02-25 00:00:00,2024-01-14 00:00:00,2023-11-05 00:00:00,2023-12-17 00:00:00,#CC00CC
